HubID,HubFormat,AssortmentTier,CompetitorDistance,CompetitorOpenSinceMonth,CompetitorOpenSinceYear,LoyaltyProgram,LoyaltyProgramSinceWeek,LoyaltyProgramSinceYear,LoyaltyProgramInterval
118,4,3,3580.0,9.0,2012.0,0,,,
119,1,3,2100.0,2.0,2010.0,0,,,
120,4,1,2290.0,12.0,2014.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,1,1,3570.0,11.0,2009.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,1,3,58260.0,4.0,2013.0,0,,,
123,1,1,16760.0,9.0,2011.0,0,,,
124,1,1,1410.0,4.0,2003.0,0,,,
125,1,1,760.0,12.0,2005.0,0,,,
126,4,1,3370.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
127,4,1,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,4,3,2000.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
129,1,1,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
130,3,1,900.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,3,1,920.0,7.0,2015.0,0,,,
132,4,3,1040.0,,,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,1,1,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,1,1,1200.0,9.0,2008.0,0,,,
135,4,1,5190.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,1,3,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
137,1,1,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,1,3,25360.0,10.0,2014.0,0,,,
139,1,1,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,1,3,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,3,3,1540.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,1,1,1090.0,7.0,2002.0,0,,,
143,4,1,2930.0,12.0,2002.0,0,,,
144,1,3,16570.0,,,0,,,
145,1,1,280.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
146,4,3,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,4,3,8540.0,,,0,,,
148,1,1,2090.0,12.0,2008.0,0,,,
149,4,1,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,3,3,31830.0,3.0,2010.0,0,,,
151,4,3,4360.0,10.0,2005.0,0,,,
152,1,1,1780.0,,,0,,,
153,1,1,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,4,3,16420.0,,,0,,,
155,4,1,3050.0,,,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,1,1,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,1,3,2950.0,10.0,2004.0,0,,,
158,4,3,11840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,4,1,8530.0,3.0,2013.0,0,,,
160,4,3,17110.0,11.0,2005.0,0,,,
161,1,3,2970.0,3.0,2005.0,0,,,
162,4,3,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,1,1,1480.0,4.0,2009.0,0,,,
164,1,1,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,1,1,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,1,3,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,1,1,140.0,4.0,2008.0,0,,,
168,1,1,12540.0,,,0,,,
169,4,1,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,1,1,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,1,1,2640.0,,,0,,,
172,1,1,110.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,1,1,350.0,12.0,2012.0,0,,,
174,1,1,13090.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,3,1,4130.0,,,0,,,
176,1,1,3770.0,,,0,,,
177,1,1,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,4,1,1710.0,,,0,,,
179,1,3,480.0,,,0,,,
180,4,1,5800.0,9.0,2010.0,0,,,
181,1,1,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,4,3,1390.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,1,1,9670.0,,,0,,,
184,4,3,3560.0,,,0,,,
185,4,3,1860.0,5.0,2015.0,0,,,
186,1,1,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,1,3,19360.0,,,0,,,
188,4,1,850.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,4,1,5760.0,7.0,2014.0,0,,,
190,1,1,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,1,1,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,4,3,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,1,1,520.0,,,0,,,
194,4,3,16970.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,1,3,220.0,,,0,,,
196,3,1,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,3,1,4210.0,3.0,2015.0,0,,,
198,1,1,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,4,3,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,1,1,1650.0,10.0,2000.0,0,,,
201,4,1,20260.0,,,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,4,3,5140.0,5.0,2010.0,0,,,
203,3,3,490.0,11.0,2002.0,0,,,
204,1,1,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,1,1,110.0,12.0,2007.0,0,,,
206,1,3,380.0,,,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,1,1,6870.0,,,0,,,
208,3,1,300.0,4.0,2006.0,0,,,
209,1,3,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,4,1,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
211,1,3,350.0,11.0,2006.0,0,,,
212,1,3,15050.0,9.0,2008.0,0,,,
213,4,3,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,4,1,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,4,1,150.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,3,1,190.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
217,3,1,3150.0,,,0,,,
218,1,3,640.0,,,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,1,1,1640.0,2.0,2013.0,0,,,
220,1,1,1000.0,9.0,2008.0,0,,,
221,4,3,13530.0,9.0,2013.0,0,,,
222,1,1,2170.0,11.0,2008.0,0,,,
223,4,3,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,4,3,7930.0,,,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,4,1,10180.0,5.0,2015.0,0,,,
226,1,1,450.0,,,0,,,
227,1,1,2370.0,,,0,,,
228,4,3,10800.0,,,1,18.0,2011.0,"Feb,May,Aug,Nov"
229,4,3,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,4,3,6680.0,9.0,2013.0,0,,,
231,4,3,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
232,3,3,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
233,1,1,1890.0,,,0,,,
234,4,1,4370.0,,,0,,,
235,1,1,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,1,1,1000.0,11.0,2007.0,0,,,
237,1,1,1420.0,11.0,2007.0,0,,,
238,1,1,320.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
239,4,3,610.0,,,0,,,
240,1,1,1110.0,5.0,2009.0,0,,,
241,4,3,780.0,,,0,,,
242,4,1,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,1,1,310.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
244,4,1,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
245,1,3,1310.0,,,0,,,
246,3,1,4660.0,4.0,2013.0,0,,,
247,4,3,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
248,1,3,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,4,3,18010.0,9.0,2014.0,0,,,
250,4,1,3520.0,,,1,18.0,2012.0,"Feb,May,Aug,Nov"
251,1,3,340.0,,,0,,,
252,4,3,22330.0,,,1,5.0,2010.0,"Feb,May,Aug,Nov"
253,1,3,250.0,,,1,5.0,2013.0,"Feb,May,Aug,Nov"
254,4,1,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,3,3,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov"
256,1,3,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,1,1,420.0,12.0,2012.0,0,,,
258,1,1,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,2,2,210.0,,,0,,,
260,1,1,540.0,10.0,2011.0,0,,,
261,4,3,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct"
262,2,1,1180.0,5.0,2013.0,0,,,
263,1,3,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,1,1,180.0,3.0,2014.0,0,,,
265,1,1,4580.0,,,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
266,1,3,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
267,3,1,2460.0,1.0,2012.0,0,,,
268,1,1,4520.0,2.0,2014.0,0,,,
269,1,3,60.0,6.0,2015.0,0,,,
270,1,1,1450.0,7.0,2014.0,0,,,
271,1,1,420.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,1,1,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,1,3,8480.0,,,0,,,
274,2,2,3640.0,,,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
275,4,1,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,1,1,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
277,4,3,7840.0,,,1,31.0,2009.0,"Feb,May,Aug,Nov"
278,1,3,9260.0,2.0,2010.0,0,,,
279,4,3,2320.0,,,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,4,3,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,4,3,6970.0,9.0,2011.0,0,,,
282,1,1,1220.0,12.0,2010.0,0,,,
283,1,1,2260.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,4,1,1290.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,1,1,2410.0,,,0,,,
286,1,1,1460.0,4.0,2015.0,0,,,
287,3,1,2740.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
288,4,1,800.0,,,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
289,4,1,6540.0,12.0,2007.0,0,,,
290,1,1,4150.0,5.0,2001.0,0,,,
291,4,1,,,,0,,,
292,1,1,1100.0,6.0,2009.0,0,,,
293,3,3,140.0,11.0,2007.0,0,,,
294,1,1,3150.0,5.0,2005.0,0,,,
295,1,1,210.0,11.0,2000.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
296,1,1,9580.0,5.0,2007.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
297,1,1,2300.0,9.0,2010.0,0,,,
298,4,1,19840.0,7.0,2009.0,0,,,
299,4,3,38630.0,9.0,2012.0,0,,,
300,1,3,120.0,4.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
301,1,3,4510.0,3.0,2015.0,0,,,
302,4,3,2190.0,12.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
303,1,1,15430.0,11.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
304,1,1,1950.0,7.0,2015.0,0,,,
305,3,3,2470.0,2.0,2005.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
306,1,1,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
307,1,1,18660.0,9.0,2002.0,0,,,
308,1,1,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
309,4,1,8740.0,,,1,37.0,2009.0,"Feb,May,Aug,Nov"
310,1,3,2290.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
311,1,3,680.0,7.0,2005.0,0,,,
312,4,1,11300.0,3.0,2012.0,0,,,
313,4,3,14160.0,,,0,,,
314,1,1,3560.0,10.0,2001.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
315,1,3,38710.0,4.0,2013.0,0,,,
316,4,1,9000.0,8.0,2001.0,0,,,
317,4,1,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
318,4,3,32330.0,3.0,2014.0,0,,,
319,1,3,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
320,1,3,210.0,9.0,2012.0,0,,,
321,3,3,8140.0,11.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
322,1,1,17500.0,4.0,2001.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
323,4,3,8400.0,4.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
324,1,1,13140.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
325,1,3,350.0,3.0,2011.0,1,22.0,2011.0,"Feb,May,Aug,Nov"
326,4,1,10070.0,5.0,2015.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
327,3,3,1390.0,12.0,2004.0,0,,,
328,1,1,3130.0,7.0,2002.0,0,,,
329,1,1,1310.0,6.0,1990.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,1,3,370.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
331,1,3,670.0,,,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
332,1,1,1840.0,3.0,2006.0,0,,,
333,1,3,3720.0,2.0,2010.0,0,,,
334,4,3,4040.0,8.0,2008.0,1,18.0,2013.0,"Mar,Jun,Sept,Dec"
335,2,1,90.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
336,1,1,190.0,7.0,2014.0,0,,,
337,4,3,10600.0,7.0,2005.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
338,1,3,1590.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
339,1,3,2280.0,,,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
340,1,3,8080.0,,,0,,,
341,1,1,190.0,9.0,2011.0,0,,,
342,4,3,15770.0,,,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
343,4,1,18650.0,4.0,2004.0,1,14.0,2014.0,"Jan,Apr,Jul,Oct"
344,1,3,300.0,4.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
345,1,1,120.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
346,1,3,8090.0,,,0,,,
347,4,3,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
348,1,1,16490.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
349,3,3,1490.0,4.0,2009.0,0,,,
350,4,1,8880.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
351,1,1,5290.0,11.0,2012.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
352,4,3,6360.0,,,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
353,2,2,900.0,,,1,14.0,2013.0,"Feb,May,Aug,Nov"
354,4,3,1500.0,10.0,2005.0,0,,,
355,1,3,9720.0,8.0,2013.0,0,,,
356,4,3,8970.0,12.0,2007.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
357,1,1,2060.0,10.0,2008.0,0,,,
358,1,1,2890.0,10.0,2003.0,0,,,
359,4,3,4370.0,,,0,,,
360,1,1,2040.0,6.0,2007.0,0,,,
361,3,3,4490.0,5.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
362,3,3,340.0,,,0,,,
363,1,1,250.0,9.0,2009.0,0,,,
364,1,3,13620.0,,,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
365,3,1,2410.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
366,4,3,6470.0,12.0,2004.0,0,,,
367,4,3,2640.0,9.0,2012.0,0,,,
368,4,3,1450.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
369,4,3,5870.0,4.0,2014.0,0,,,
370,4,1,8250.0,10.0,2000.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
371,4,3,1970.0,7.0,2009.0,1,45.0,2014.0,"Feb,May,Aug,Nov"
372,4,3,4880.0,8.0,2010.0,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
373,4,3,11120.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
374,1,1,1150.0,9.0,2007.0,0,,,
375,1,3,15710.0,2.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
376,1,1,160.0,8.0,2012.0,0,,,
377,1,3,100.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
378,1,3,2140.0,8.0,2012.0,0,,,
379,4,1,6630.0,,,0,,,
380,1,1,2240.0,5.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
381,1,1,1800.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
382,3,3,26130.0,11.0,2002.0,0,,,
383,1,3,350.0,,,0,,,
384,1,3,130.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
385,4,1,4580.0,9.0,2007.0,0,,,
386,4,3,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
387,3,1,210.0,,,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
388,1,1,2260.0,,,0,,,
389,1,3,6690.0,8.0,2011.0,0,,,
390,1,3,1600.0,4.0,2009.0,0,,,
391,1,1,460.0,11.0,2014.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
392,1,1,2120.0,,,0,,,
393,4,3,4820.0,3.0,2008.0,0,,,
394,4,1,10850.0,,,0,,,
395,1,1,3620.0,2.0,2013.0,0,,,
396,1,3,23130.0,,,0,,,
397,1,3,130.0,,,1,27.0,2013.0,"Feb,May,Aug,Nov"
398,3,3,1540.0,,,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
